
0;0;126;228;0;0.8;0;;
0;0;246;225;0;0.8;0;;
1;2;109;205;180;1.2;1;Ojo;izq
1;2;374;21;180;1.2;1;Ojo;izq
1;4;45;71;0;0.8;0;;
1;4;145;65;0;0.8;0;;
1;4;75;218;0;0.8;0;;
1;4;332;186;0;0.8;0;;
1;4;206;301;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
0;5;395;1;0;0.8;0;;
